step,critic/score/mean,critic/score/max,actor/grad_norm,actor/pg_loss
1,0.15,0.2,0.108333,3.72529e-09
2,0.025,0.2,0.0523889,-1.86265e-09
3,0.075,0.2,0.123187,2.79397e-09
4,0.025,0.2,0.0802404,-9.31323e-10
5,0.1,0.2,0.115339,9.31323e-10
6,0,0,9.78346e-06,0
7,0.05,0.2,0.0868477,2.79397e-09
8,0.075,0.2,0.0963212,2.79397e-09
9,0.05,0.2,0.0742781,0
10,0.15,0.2,0.0512595,1.86265e-09
11,0.05,0.2,0.0598534,-9.31323e-10
12,0.1,0.2,0.205758,-1.86265e-09
13,0,0,7.67608e-06,0
14,0.125,0.2,0.127115,-9.31323e-10
15,0.1,0.2,0.0840294,0
16,0.1,0.2,0.110505,0
17,0.025,0.2,0.0803586,-1.86265e-09
18,0.1,0.2,0.0946528,3.72529e-09
19,0.05,0.2,0.107595,1.86265e-09
20,0.075,0.2,0.0805081,-2.79397e-09
21,0.135,0.44,0.0628285,-6.0536e-09
22,0,0,3.88201e-06,0
23,0.075,0.2,0.147428,3.72529e-09
24,0.1,0.2,0.0713771,-1.86265e-09
25,0.1,0.2,0.128632,1.86265e-09
26,0.075,0.2,0.0607665,9.31323e-10
27,0.125,0.2,0.102859,0
28,0.05,0.2,0.0953586,9.31323e-10
29,0.1,0.2,0.0529876,0
30,0.0892857,0.314286,0.107876,-9.31323e-10
31,0.0535714,0.428571,0.0806606,9.31323e-10
32,0.075,0.2,0.0721932,-9.31323e-10
33,0.05,0.2,0.0893027,1.86265e-09
34,0.15,0.2,0.105755,3.72529e-09
35,0.075,0.2,0.0718455,2.79397e-09
36,0.125,0.2,0.14481,-3.72529e-09
37,0.075,0.2,0.0672824,9.31323e-10
38,0.025,0.2,0.130609,-9.31323e-10
39,0,0,1.10768e-05,0
40,0.1,0.2,0.0838406,0
41,0,0,2.46754e-05,0
42,0.05,0.2,0.10001,1.86265e-09
43,0,0,5.44417e-06,0
44,0.025,0.2,0.0282215,-9.31323e-10
45,0.05,0.2,0.10315,1.86265e-09
46,0.05,0.2,0.0744715,9.31323e-10
47,0.225,1,0.11281,1.5134e-09
48,0.025,0.2,0.139566,-1.86265e-09
49,0.175,0.2,0.124066,1.39698e-08
50,0.025,0.2,0.060465,-1.39698e-09
51,0.125,0.2,0.067015,1.86265e-09
52,0.05,0.2,0.157403,9.31323e-10
53,0.05,0.2,0.0710101,1.86265e-09
54,0.15,0.2,0.104985,3.72529e-09
55,0,0,5.52014e-06,0
